materials,AngM1-N-M2,dM1-M2,MagM1,RM1,NM1,mM1,PM1,"Hf,oxM1",NoutM1,XM1,EAM1,EiM1,MagM2,RM2,NM2,mM2,PM2,"Hf,oxM2",NoutM2,XM2,EAM2,EiM2
CoRu,145.5063,3.54008,0.505,152,27,58.933,3,-5.6,9,1.88,0.66,7.881,1.08,178,44,101.07,4,-6.14,8,2.2,1.05,7.361
CoRh,144.9307,3.53763,0.724,152,27,58.933,3,-5.6,9,1.88,0.66,7.881,0.111,173,45,102.91,4,-4.84,9,2.28,1.137,7.459
CoPd,144.8526,3.56577,0.531,152,27,58.933,3,-5.6,9,1.88,0.66,7.881,0.008,169,46,106.42,4,-2.81,10,2.2,0.557,8.337
CoOs,142.9077,3.53872,0.66,152,27,58.933,3,-5.6,9,1.88,0.66,7.881,0.762,185,76,190.23,5,-6.21,8,2.2,1.1,8.71
CoIr,144.7722,3.54717,0.762,152,27,58.933,3,-5.6,9,1.88,0.66,7.881,0.115,180,77,192.22,5,-6.51,9,2.2,1.57,9.12
CoPt,144.5858,3.57162,0.614,152,27,58.933,3,-5.6,9,1.88,0.66,7.881,0.01,177,78,195.08,5,-3.38,10,2.28,2.128,9.02
NiCr,145.914,3.55275,0.038,149,28,58.693,3,-4.75,10,1.91,1.16,7.64,3.247,166,24,51.996,3,-6.26,6,1.66,0.666,6.767
NiMn,145.7882,3.52216,0.025,149,28,58.693,3,-4.75,10,1.91,1.16,7.64,3.293,161,25,54.938,3,-5.49,7,1.55,0,7.434
NiFe,145.8112,3.54654,0,149,28,58.693,3,-4.75,10,1.91,1.16,7.64,2.078,156,26,55.845,3,-6.45,8,1.83,0.163,7.903
NiCo,146.4483,3.53672,0.022,149,28,58.693,3,-4.75,10,1.91,1.16,7.64,0.671,152,27,58.933,3,-5.6,9,1.88,0.66,7.881
NiNi,146.7338,3.56601,0.028,149,28,58.693,3,-4.75,10,1.91,1.16,7.64,0.028,149,28,58.693,3,-4.75,10,1.91,1.16,7.64
NiRu,143.3488,3.55901,0.03,149,28,58.693,3,-4.75,10,1.91,1.16,7.64,0.874,178,44,101.07,4,-6.14,8,2.2,1.05,7.361
NiRh,143.3488,3.54985,0.001,149,28,58.693,3,-4.75,10,1.91,1.16,7.64,0.01,173,45,102.91,4,-4.84,9,2.28,1.137,7.459
NiPd,144.8582,3.58844,0.037,149,28,58.693,3,-4.75,10,1.91,1.16,7.64,0.015,169,46,106.42,4,-2.81,10,2.2,0.557,8.337
NiOs,143.2754,3.55078,0.028,149,28,58.693,3,-4.75,10,1.91,1.16,7.64,0.602,185,76,190.23,5,-6.21,8,2.2,1.1,8.71
NiIr,144.1329,3.55373,0,149,28,58.693,3,-4.75,10,1.91,1.16,7.64,0.001,180,77,192.22,5,-6.51,9,2.2,1.57,9.12
NiPt,144.4785,3.58951,0.007,149,28,58.693,3,-4.75,10,1.91,1.16,7.64,0.005,177,78,195.08,5,-3.38,10,2.28,2.128,9.02
RuCr,139.4874,3.59047,1.062,178,44,101.07,4,-6.14,8,2.2,1.05,7.361,3.35,166,24,51.996,3,-6.26,6,1.66,0.666,6.767
RuMn,141.2661,3.56145,0.393,178,44,101.07,4,-6.14,8,2.2,1.05,7.361,3.225,161,25,54.938,3,-5.49,7,1.55,0,7.434
RuFe,141.6544,3.56969,0.715,178,44,101.07,4,-6.14,8,2.2,1.05,7.361,1.981,156,26,55.845,3,-6.45,8,1.83,0.163,7.903
RuCo,145.5063,3.54008,1.08,178,44,101.07,4,-6.14,8,2.2,1.05,7.361,0.505,152,27,58.933,3,-5.6,9,1.88,0.66,7.881
RuNi,143.3488,3.55901,0.874,178,44,101.07,4,-6.14,8,2.2,1.05,7.361,0.03,149,28,58.693,3,-4.75,10,1.91,1.16,7.64
RuRu,122.9347,3.30344,0.359,178,44,101.07,4,-6.14,8,2.2,1.05,7.361,0.381,178,44,101.07,4,-6.14,8,2.2,1.05,7.361
RuRh,140.2049,3.56744,1.203,178,44,101.07,4,-6.14,8,2.2,1.05,7.361,0.052,173,45,102.91,4,-4.84,9,2.28,1.137,7.459
RuPd,140.1625,3.59588,0.848,178,44,101.07,4,-6.14,8,2.2,1.05,7.361,0.007,169,46,106.42,4,-2.81,10,2.2,0.557,8.337
RuOs,123.7076,3.33359,0.052,178,44,101.07,4,-6.14,8,2.2,1.05,7.361,0.565,185,76,190.23,5,-6.21,8,2.2,1.1,8.71
RuIr,140.7064,3.59305,1.239,178,44,101.07,4,-6.14,8,2.2,1.05,7.361,0.012,180,77,192.22,5,-6.51,9,2.2,1.57,9.12
RuPt,139.5744,3.60612,0.869,178,44,101.07,4,-6.14,8,2.2,1.05,7.361,0.013,177,78,195.08,5,-3.38,10,2.28,2.128,9.02
RhCr,137.4511,3.57022,1.085,173,45,102.91,4,-4.84,9,2.28,1.137,7.459,3.348,166,24,51.996,3,-6.26,6,1.66,0.666,6.767
RhMn,142.4731,3.54358,0.274,173,45,102.91,4,-4.84,9,2.28,1.137,7.459,3.223,161,25,54.938,3,-5.49,7,1.55,0,7.434
RhFe,143.7455,3.62442,0.162,173,45,102.91,4,-4.84,9,2.28,1.137,7.459,2.01,156,26,55.845,3,-6.45,8,1.83,0.163,7.903
RhCo,144.9307,3.53763,0.111,173,45,102.91,4,-4.84,9,2.28,1.137,7.459,0.724,152,27,58.933,3,-5.6,9,1.88,0.66,7.881
RhNi,143.3488,3.54985,0.01,173,45,102.91,4,-4.84,9,2.28,1.137,7.459,0.001,149,28,58.693,3,-4.75,10,1.91,1.16,7.64
RhRu,140.2049,3.56744,0.052,173,45,102.91,4,-4.84,9,2.28,1.137,7.459,1.203,178,44,101.07,4,-6.14,8,2.2,1.05,7.361
RhRh,142.1529,3.55859,0,173,45,102.91,4,-4.84,9,2.28,1.137,7.459,0,173,45,102.91,4,-4.84,9,2.28,1.137,7.459
RhPd,142.553,3.57959,0.001,173,45,102.91,4,-4.84,9,2.28,1.137,7.459,0,169,46,106.42,4,-2.81,10,2.2,0.557,8.337
RhOs,138.8873,3.55147,0.157,173,45,102.91,4,-4.84,9,2.28,1.137,7.459,1.025,185,76,190.23,5,-6.21,8,2.2,1.1,8.71
RhIr,143.3813,3.57107,0,173,45,102.91,4,-4.84,9,2.28,1.137,7.459,0,180,77,192.22,5,-6.51,9,2.2,1.57,9.12
RhPt,142.5479,3.58919,0,173,45,102.91,4,-4.84,9,2.28,1.137,7.459,0,177,78,195.08,5,-3.38,10,2.28,2.128,9.02
PdCr,143.3408,3.57663,0.012,169,46,106.42,4,-2.81,10,2.2,0.557,8.337,3.188,166,24,51.996,3,-6.26,6,1.66,0.666,6.767
PdMn,143.6318,3.57835,0.022,169,46,106.42,4,-2.81,10,2.2,0.557,8.337,3.258,161,25,54.938,3,-5.49,7,1.55,0,7.434
PdFe,144.1351,3.57578,0.011,169,46,106.42,4,-2.81,10,2.2,0.557,8.337,2.072,156,26,55.845,3,-6.45,8,1.83,0.163,7.903
PdCo,144.8526,3.56577,0.008,169,46,106.42,4,-2.81,10,2.2,0.557,8.337,0.531,152,27,58.933,3,-5.6,9,1.88,0.66,7.881
PdNi,144.8582,3.58844,0.015,169,46,106.42,4,-2.81,10,2.2,0.557,8.337,0.037,149,28,58.693,3,-4.75,10,1.91,1.16,7.64
PdRu,140.1625,3.59588,0.007,169,46,106.42,4,-2.81,10,2.2,0.557,8.337,0.848,178,44,101.07,4,-6.14,8,2.2,1.05,7.361
PdRh,142.553,3.57959,0,169,46,106.42,4,-2.81,10,2.2,0.557,8.337,0.001,173,45,102.91,4,-4.84,9,2.28,1.137,7.459
PdPd,142.8236,3.61192,0.016,169,46,106.42,4,-2.81,10,2.2,0.557,8.337,0.016,169,46,106.42,4,-2.81,10,2.2,0.557,8.337
PdOs,140.1125,3.59468,0.006,169,46,106.42,4,-2.81,10,2.2,0.557,8.337,0.615,185,76,190.23,5,-6.21,8,2.2,1.1,8.71
PdIr,142.3943,3.58598,0,169,46,106.42,4,-2.81,10,2.2,0.557,8.337,0,180,77,192.22,5,-6.51,9,2.2,1.57,9.12
PdPt,142.5813,3.61688,0.002,169,46,106.42,4,-2.81,10,2.2,0.557,8.337,0.003,177,78,195.08,5,-3.38,10,2.28,2.128,9.02
OsCr,139.5305,3.58966,0.755,185,76,190.23,5,-6.21,8,2.2,1.1,8.71,3.391,166,24,51.996,3,-6.26,6,1.66,0.666,6.767
OsMn,141.3989,3.56545,0.297,185,76,190.23,5,-6.21,8,2.2,1.1,8.71,3.277,161,25,54.938,3,-5.49,7,1.55,0,7.434
OsFe,141.6617,3.54859,0.505,185,76,190.23,5,-6.21,8,2.2,1.1,8.71,2.012,156,26,55.845,3,-6.45,8,1.83,0.163,7.903
OsCo,142.9077,3.53872,0.66,185,76,190.23,5,-6.21,8,2.2,1.1,8.71,0.762,152,27,58.933,3,-5.6,9,1.88,0.66,7.881
OsNi,143.2754,3.55078,0.602,185,76,190.23,5,-6.21,8,2.2,1.1,8.71,0.028,149,28,58.693,3,-4.75,10,1.91,1.16,7.64
OsRu,123.7076,3.33359,0.565,185,76,190.23,5,-6.21,8,2.2,1.1,8.71,0.052,178,44,101.07,4,-6.14,8,2.2,1.05,7.361
OsRh,138.8873,3.55147,1.025,185,76,190.23,5,-6.21,8,2.2,1.1,8.71,0.157,173,45,102.91,4,-4.84,9,2.28,1.137,7.459
OsPd,140.1125,3.59468,0.615,185,76,190.23,5,-6.21,8,2.2,1.1,8.71,0.006,169,46,106.42,4,-2.81,10,2.2,0.557,8.337
OsOs,123.7127,3.34131,0.294,185,76,190.23,5,-6.21,8,2.2,1.1,8.71,0.295,185,76,190.23,5,-6.21,8,2.2,1.1,8.71
OsIr,140.157,3.58931,1.011,185,76,190.23,5,-6.21,8,2.2,1.1,8.71,0.088,180,77,192.22,5,-6.51,9,2.2,1.57,9.12
